,precision,recall,f1-score,support
joy,0.968627451,0.94184938,0.955050749,1049
fear,0.798165138,0.898591549,0.84540636,1065
anger,0.689386563,0.667924528,0.678485865,1060
sadness,0.755760369,0.789220404,0.77212806,1039
disgust,0.857346648,0.58011583,0.691997697,1036
shame,0.561459159,0.681424447,0.615652174,1039
guilt,0.730174081,0.72666025,0.728412928,1039
micro avg,0.755698103,0.755698103,0.755698103,0.755698103
macro avg,0.76584563,0.755112341,0.755304833,7327
weighted avg,0.765980471,0.755698103,0.755702926,7327
